data,time,real_time,timesplit,str_timesplit,hour,weekday,price_date,all_return,c_return
"[{'query': '合一', 'score': 9.5, 'category': 'stock', 'num': '4743', 'change_rate': 10, 'change_rate_new': 0.1, 'open': 47.1, 'close': 51.7}, {'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': 2.05, 'change_rate_new': 0.020499999999999997, 'open': 19.7, 'close': 19.9}, {'query': '巨大', 'score': 7, 'category': 'stock', 'num': '9921', 'change_rate': 2.03, 'change_rate_new': 0.0203, 'open': 148, 'close': 150.5}, {'query': '矽統', 'score': 6.75, 'category': 'stock', 'num': '2363', 'change_rate': 7.83, 'change_rate_new': 0.0783, 'open': 10.95, 'close': 11.7}]",2020-04-22T05:02:13.203Z,2020-04-22 13:02:13.203,2020-04-22 00:00:00.000,2020-04-22,13,2,2020-04-22,0.05477499999999999,0.08719177804927414
"[{'query': '定穎', 'score': 9.25, 'category': 'stock', 'num': '6251', 'change_rate': -1.51, 'change_rate_new': -0.0151, 'open': 19.55, 'close': 19.6}, {'query': '合一', 'score': 8.75, 'category': 'stock', 'num': '4743', 'change_rate': 6.58, 'change_rate_new': 0.0658, 'open': 53.1, 'close': 55.1}, {'query': '巨大', 'score': 8, 'category': 'stock', 'num': '9921', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 148, 'close': 150.5}, {'query': '台勝科', 'score': 7.25, 'category': 'stock', 'num': '3532', 'change_rate': -2.16, 'change_rate_new': -0.0216, 'open': 139, 'close': 136}]",2020-04-23T05:02:15.305Z,2020-04-23 13:02:15.305,2020-04-23 00:00:00.000,2020-04-23,13,3,2020-04-23,0.0072749999999999985,0.09510109823458257
"[{'query': '寶齡富錦', 'score': 8.75, 'category': 'stock', 'num': '1760', 'change_rate': 9.91, 'change_rate_new': 0.09910000000000001, 'open': 127.5, 'close': 127.5}, {'query': '定穎', 'score': 7.75, 'category': 'stock', 'num': '6251', 'change_rate': 1.28, 'change_rate_new': 0.0128, 'open': 20, 'close': 19.85}, {'query': '合一', 'score': 7.75, 'category': 'stock', 'num': '4743', 'change_rate': 1.27, 'change_rate_new': 0.0127, 'open': 56.5, 'close': 55.8}, {'query': '晶電', 'score': 7, 'category': 'stock', 'num': '2448', 'change_rate': 6.06, 'change_rate_new': 0.060599999999999994, 'open': 39, 'close': 40.25}]",2020-04-24T05:02:18.498Z,2020-04-24 13:02:18.498,2020-04-24 00:00:00.000,2020-04-24,13,4,2020-04-24,0.0463,0.14580427908284377
"[{'query': '寶齡富錦', 'score': 9.75, 'category': 'stock', 'num': '1760', 'change_rate': -9.41, 'change_rate_new': -0.0941, 'open': 125, 'close': 115.5}, {'query': '敏成', 'score': 8.75, 'category': 'stock', 'num': '4431', 'change_rate': 15.97, 'change_rate_new': 0.1597, 'open': 132.02, 'close': 145.5}, {'query': '強茂', 'score': 8, 'category': 'stock', 'num': '2481', 'change_rate': 1.26, 'change_rate_new': 0.0126, 'open': 23.85, 'close': 24.15}, {'query': 'ABC-KY', 'score': 6.25, 'category': 'stock', 'num': '6598', 'change_rate': -16.64, 'change_rate_new': -0.1664, 'open': 78.26, 'close': 61.8}]",2020-04-27T05:01:58.504Z,2020-04-27 13:01:58.504,2020-04-27 00:00:00.000,2020-04-27,13,0,2020-04-27,-0.022049999999999997,0.1205392947290671
"[{'query': '敏成', 'score': 9.25, 'category': 'stock', 'num': '4431', 'change_rate': -3.53, 'change_rate_new': -0.0353, 'open': 153.1, 'close': 153.5}, {'query': '寶齡富錦', 'score': 8, 'category': 'stock', 'num': '1760', 'change_rate': 3.9, 'change_rate_new': 0.039, 'open': 115.5, 'close': 120}, {'query': '康那香', 'score': 8, 'category': 'stock', 'num': '9919', 'change_rate': 9.84, 'change_rate_new': 0.0984, 'open': 26.5, 'close': 27.9}, {'query': '強茂', 'score': 7.25, 'category': 'stock', 'num': '2481', 'change_rate': 1.04, 'change_rate_new': 0.0104, 'open': 24.5, 'close': 24.4}]",2020-04-28T05:01:58.112Z,2020-04-28 13:01:58.112,2020-04-28 00:00:00.000,2020-04-28,13,1,2020-04-28,0.028124999999999997,0.152054462393322
"[{'query': '康那香', 'score': 9, 'category': 'stock', 'num': '9919', 'change_rate': 9.86, 'change_rate_new': 0.0986, 'open': 30.6, 'close': 30.65}, {'query': '台康生技', 'score': 8.75, 'category': 'stock', 'num': '6589', 'change_rate': -0.75, 'change_rate_new': -0.0075, 'open': 46.65, 'close': 46.3}, {'query': '敏成', 'score': 8.25, 'category': 'stock', 'num': '4431', 'change_rate': 1.4, 'change_rate_new': 0.013999999999999999, 'open': 147.69, 'close': 150.5}, {'query': '強茂', 'score': 7.75, 'category': 'stock', 'num': '2481', 'change_rate': 0.61, 'change_rate_new': 0.0060999999999999995, 'open': 24.7, 'close': 24.55}]",2020-04-29T05:02:11.424Z,2020-04-29 13:02:11.424,2020-04-29 00:00:00.000,2020-04-29,13,2,2020-04-29,0.027799999999999995,0.1840815764478565
"[{'query': '康那香', 'score': 9.75, 'category': 'stock', 'num': '9919', 'change_rate': 9.95, 'change_rate_new': 0.09949999999999999, 'open': 33.7, 'close': 33.7}, {'query': '台康生技', 'score': 9.25, 'category': 'stock', 'num': '6589', 'change_rate': 9.94, 'change_rate_new': 0.09939999999999999, 'open': 46, 'close': 50.9}, {'query': '盛弘', 'score': 8, 'category': 'stock', 'num': '8403', 'change_rate': 9.94, 'change_rate_new': 0.09939999999999999, 'open': 45.3, 'close': 50.9}, {'query': '新麗', 'score': 7, 'category': 'stock', 'num': '9944', 'change_rate': 1.55, 'change_rate_new': 0.0155, 'open': 22.6, 'close': 22.9}]",2020-04-30T05:02:12.521Z,2020-04-30 13:02:12.521,2020-04-30 00:00:00.000,2020-04-30,13,3,2020-04-30,0.07844999999999999,0.2769727761201908
"[{'query': '康那香', 'score': 9.5, 'category': 'stock', 'num': '9919', 'change_rate': 9.94, 'change_rate_new': 0.09939999999999999, 'open': 37.05, 'close': 37.05}, {'query': '新麗', 'score': 8.25, 'category': 'stock', 'num': '9944', 'change_rate': 3.49, 'change_rate_new': 0.0349, 'open': 23.05, 'close': 23.7}, {'query': '盛弘', 'score': 8.25, 'category': 'stock', 'num': '8403', 'change_rate': -1.57, 'change_rate_new': -0.015700000000000002, 'open': 50.6, 'close': 50.1}, {'query': '台光電', 'score': 6, 'category': 'stock', 'num': '2383', 'change_rate': 1.15, 'change_rate_new': 0.0115, 'open': 134, 'close': 132}]",2020-05-04T05:01:45.755Z,2020-05-04 13:01:45.755,2020-05-04 00:00:00.000,2020-05-04,13,0,2020-05-04,0.03252499999999999,0.31850631566349996
"[{'query': '康那香', 'score': 8.75, 'category': 'stock', 'num': '9919', 'change_rate': 9.99, 'change_rate_new': 0.0999, 'open': 40.75, 'close': 40.75}, {'query': '新麗', 'score': 8.25, 'category': 'stock', 'num': '9944', 'change_rate': 3.38, 'change_rate_new': 0.0338, 'open': 24.3, 'close': 24.5}, {'query': '盛弘', 'score': 7.75, 'category': 'stock', 'num': '8403', 'change_rate': -1.2, 'change_rate_new': -0.012, 'open': 51.5, 'close': 49.5}, {'query': '日揚', 'score': 6.5, 'category': 'stock', 'num': '6208', 'change_rate': 0.81, 'change_rate_new': 0.008100000000000001, 'open': 24.9, 'close': 24.8}]",2020-05-05T05:01:48.269Z,2020-05-05 13:01:48.269,2020-05-05 00:00:00.000,2020-05-05,13,1,2020-05-05,0.03245,0.3612918456067806
"[{'query': '新麗', 'score': 8.75, 'category': 'stock', 'num': '9944', 'change_rate': -7.35, 'change_rate_new': -0.0735, 'open': 24.8, 'close': 22.7}, {'query': '遠東新', 'score': 8.25, 'category': 'stock', 'num': '1402', 'change_rate': -3.19, 'change_rate_new': -0.0319, 'open': 28, 'close': 27.35}, {'query': '台燿', 'score': 7.5, 'category': 'stock', 'num': '6274', 'change_rate': 3.16, 'change_rate_new': 0.0316, 'open': 144.5, 'close': 147}, {'query': '鈺太', 'score': 7.25, 'category': 'stock', 'num': '6679', 'change_rate': 1.58, 'change_rate_new': 0.0158, 'open': 160, 'close': 161}]",2020-05-06T05:01:52.919Z,2020-05-06 13:01:52.919,2020-05-06 00:00:00.000,2020-05-06,13,2,2020-05-06,-0.014499999999999997,0.34155311384548237
"[{'query': '新麗', 'score': 8, 'category': 'stock', 'num': '9944', 'change_rate': -9.91, 'change_rate_new': -0.09910000000000001, 'open': 22, 'close': 20.45}, {'query': '遠東新', 'score': 8, 'category': 'stock', 'num': '1402', 'change_rate': -0.37, 'change_rate_new': -0.0037, 'open': 27.5, 'close': 27.25}, {'query': '鈺太', 'score': 7.25, 'category': 'stock', 'num': '6679', 'change_rate': 1.55, 'change_rate_new': 0.0155, 'open': 164, 'close': 163.5}, {'query': '中化生', 'score': 6.75, 'category': 'stock', 'num': '1762', 'change_rate': -9.89, 'change_rate_new': -0.0989, 'open': 62.5, 'close': 55.6}]",2020-05-07T05:01:59.772Z,2020-05-07 13:01:59.772,2020-05-07 00:00:00.000,2020-05-07,13,3,2020-05-07,-0.04655,0.27910381639597515
"[{'query': '南帝', 'score': 10, 'category': 'stock', 'num': '2108', 'change_rate': -1.05, 'change_rate_new': -0.0105, 'open': 38.35, 'close': 37.75}, {'query': '鈺太', 'score': 8, 'category': 'stock', 'num': '6679', 'change_rate': -0.31, 'change_rate_new': -0.0031, 'open': 166.5, 'close': 163}, {'query': '橘子', 'score': 8, 'category': 'stock', 'num': '6180', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 61, 'close': 60.4}, {'query': '遠東新', 'score': 6.25, 'category': 'stock', 'num': '1402', 'change_rate': 0, 'change_rate_new': 0.0, 'open': 27.7, 'close': 27.25}]",2020-05-08T05:02:01.019Z,2020-05-08 13:02:01.019,2020-05-08 00:00:00.000,2020-05-08,13,4,2020-05-08,-0.0034000000000000002,0.2747548634202288
"[{'query': '美德醫療-DR', 'score': 9, 'category': 'stock', 'num': '9103', 'change_rate': 3.67, 'change_rate_new': 0.036699999999999997, 'open': 4.75, 'close': 4.8}, {'query': '廣運', 'score': 8.25, 'category': 'stock', 'num': '6125', 'change_rate': -4.29, 'change_rate_new': -0.0429, 'open': 17.2, 'close': 16.75}, {'query': '國光生', 'score': 8.25, 'category': 'stock', 'num': '4142', 'change_rate': 2.33, 'change_rate_new': 0.0233, 'open': 40.5, 'close': 41.7}, {'query': '南帝', 'score': 7.25, 'category': 'stock', 'num': '2108', 'change_rate': -0.66, 'change_rate_new': -0.0066, 'open': 38.5, 'close': 37.5}]",2020-05-11T05:02:06.276Z,2020-05-11 13:02:06.276,2020-05-11 00:00:00.000,2020-05-11,13,0,2020-05-11,0.0026249999999999993,0.2781010949367071
